"name1","type_facility","longitude","latitude"
"Odyssey House Inc","SU",-111.8809161,40.7251113
"Volunteers of America Utah","SU",-111.9105626,40.6802627
"Liberty Addiction Recovery Centers","SU",-111.9383171,40.6301885
"Helping Hand Association","SU",-111.8628904,40.7690873
"Sovegna","SU",-111.8667612,40.7626028
"Odyssey House Inc","SU",-111.8694346,40.7633166
"Odyssey House Inc","SU",-111.9393926,40.6398522
"NEFA LLC","SU",-111.9378853,40.6432246
"Alpine Center for Personal Growth","SU",-111.9358773,40.6472779
"Doya Natsu Healing Center (ESRP)","SU",-108.8765972,43.0004907
"Odyssey House Inc","SU",-111.8743563,40.767651
"CLD3 Counseling","SU",-111.8785177,40.7615521
"Odyssey House Inc","SU",-111.877211,40.7681435
"Odyssey House Inc","SU",-111.8771898,40.768211
"Urban Indian Center of Salt Lake","SU",-111.8948194,40.7419316
"Capstone Counseling Centers LLC","SU",-111.8847587,40.7612171
"Asian Association of Utah","SU",-111.8992985,40.7658841
"Altium Health LLC","SU",-111.9830897,40.6205073
"West Ridge Academy","SU",-112.0209958,40.5836523
"FourPoints Health","SU",-112.418053,38.8184422
"Valley Behavioral Health","SU",-111.9802883,40.6812982
"Sol Recovery Community Inc","SU",-111.8928632,40.8822011
"Active Recovery","SU",-111.8785638,40.9169319
"Diamond Recovery","SU",-111.9556961,41.0379488
"Southwest Behavioral Health Center","SU",-112.4241639,37.8232365
"Central Utah Counseling Center","SU",-112.5753076,39.3533473
"Southwest Guidance Center Inc","SU",-100.9275319,37.0546589
"City on a Hill","SU",-100.4574546,38.4775447
"Clinical Consultants LLC","SU",-112.296533,40.545027
"Action Recovery Group","SU",-111.939161,41.1622901
"Brighton Recovery Center","SU",-111.9428872,41.1601974
"Renaissance Ranch","SU",-111.9428872,41.1601974
"Ogden Regional Medical Center","SU",-111.9703209,41.1645704
"CLD3 Counseling","SU",-112.01713,41.1080959
"NEFA LLC","SU",-112.0171342,41.1081382
"Spirit Mountain Recovery","SU",-111.8716005,41.3188775
"Southwest Behavioral Health Center","SU",-112.642818,38.2903469
"School of Addiction Recovery","SU",-111.9739539,41.2090044
"Clinical Consultants LLC","SU",-111.9705455,41.2172081
"Spirit Mountain Behavioral Health","SU",-112.0227057,41.1703015
"Weber Recovery Center","SU",-112.0056723,41.2161671
"Community Bridges Inc","SU",-109.3723029,34.50667156
"Winslow Guidance Associates Inc","SU",-110.1582911,34.9012788
"Beecon Recovery","SU",-112.0162218,41.5090051
"Triumph Youth Services","SU",-112.0317548,41.5091439
"Triumph Youth Services","SU",-112.0318479,41.5095719
"Intermountain","SU",-111.820481,41.756635
"Beacon of Hope Counseling Center LLC","SU",-100.7662444,41.1367742
"Winslow Guidance Associates Inc","SU",-110.7008154,35.037076
"Team Recovery LLC","SU",-111.83389,41.7803855
"Uinta Academy","SU",-111.9485049,41.6666133
"Southwest Behavioral Health Center","SU",-112.5292121,37.0558526
"Southwest Behavioral Health Center","SU",-113.0114062,38.3947931
"Mental Health Resources Inc","SU",-103.2188306,34.4197052
"Mental Health Resources Inc","SU",-103.2064358,34.4154003
"Cenikor Foundation","SU",-101.9127892,35.2035791
"Community Bridges Inc","SU",-109.2817543,34.1340168
"Amarillo VA Healthcare System","SU",-101.9065502,35.2040297
"Professional Addiction Specialty Servs","SU",-101.8953335,35.2072045
"Plainview Serenity Center Inc","SU",-101.8844886,35.2154429
"Addiction Recovery Centers of the","SU",-103.475451,43.4315434
"WTCR Amarillo","SU",-101.8631325,35.2083552
"VA Black Hills Healthcare System","SU",-103.4783065,43.4368827
"Dailey Recovery Service","SU",-101.833802,35.220519
"Beacon Charities","SU",-109.730597,34.2688094
"Valley Hope of Norton","SU",-99.8980168,39.8383616
"FourPoints Health","SU",-113.0580676,37.6840644
"New Chance Inc","SU",-99.989066,37.752031
"Mental Health Resources Inc","SU",-103.3362661,34.1881492
"Cloud Peak Counseling Center","SU",-107.9386133,44.0140449
"White Mountain Counseling","SU",-110.0296555,34.25272
"Beacon Treatment Center SL","SU",-110.0293395,34.2525532
"Sober Mountain","SU",-110.0360976,34.2545092
"ChangePoint Integrated Health","SU",-110.0141017,34.2023112
"Winslow Guidance Associates Inc","SU",-111.6135985,35.2062902
"Labyrinth Assessment/Behavioral Servs","SU",-112.2448518,42.1861233
"Soulegria LLC","SU",-113.2877363,37.1760688
"Dream Inc","SU",-99.3379166,38.8861845
"High Plains Mental Health Center","SU",-99.3298825,38.8685974
"Four Directions Treatment and","SU",-105.8134802,33.1637932
"Mental Health and Recovery Services of","SU",-110.7484712,43.4794506
"NM Department of Health","SU",-104.5231025,33.3093912
"Hope Rising Outpatient","SU",-113.5618315,37.0966926
"Premier Counseling Services","SU",-113.5793515,37.1112333
"Lions Gate Recovery","SU",-113.5888692,37.1102431
"Southwest Behavioral Health Center","SU",-113.5934499,37.1119097
"Steps Recovery Center","SU",-113.5848935,37.0894802
"Lifeways","SU",-103.2339314,44.0762378
"FourPoints Health","SU",-113.6138483,37.1334031
"ROADS Inc","SU",-103.2114443,44.081047
"Wellfully Wellspring Inc","SU",-103.204629,44.082662
"Youth and Family Services Inc","SU",-103.2094892,44.0912109
"Steps Recovery Center","SU",-113.5988432,37.0448811
"Addiction Recovery Centers of the","SU",-103.2209941,44.0997804
"Plainview Serenity Center Inc","SU",-101.7098985,34.2554512
"Volunteers of America ","SU",-106.950909,44.761022
"Volunteers of America ","SU",-106.9480211,44.7612632
"Moonlight Mountain Recovery Inc","SU",-112.3240577,42.8918441
"Central Plains Center","SU",-101.7095314,34.1858497
"Cedar Mountain Center at","SU",-109.0737845,44.5265642
"Cognitive Restructuring LLC","SU",-112.4473215,42.8723306
"Freedom Recovery","SU",-112.4587047,42.8783337
"Saint Francis Community Services","SU",-98.7649609,38.3672628
"Mingus Mountain Estates","SU",-112.1877158,34.64357276
"Tu Casa","SU",-108.2418898,32.7933996
"Recovery Management Center","SU",-108.2773944,32.7800732
"Mingus Mountain Academy","SU",-112.2469701,34.5397178
"Beehive Rehabilitation and Counseling","SU",-112.039776,43.493144
"Brick House Recovery","SU",-112.0502925,43.5035886
"Stoneridge Centers for","SU",-112.3613779,34.5813161
"New Dawn Enterprises","SU",-103.4275264,44.6604116
"Silver Sands Recovery","SU",-112.4677865,34.5963366
"Prescott House Inc","SU",-112.4597506,34.5446422
"Recovery in the Pines","SU",-112.4838392,34.5642715
"Viewpoint Dual Recovery Center","SU",-112.4787231,34.5535097
"Royal AZ LLC","SU",-112.4866304,34.5572292
"Royal AZ LLC","SU",-112.4792763,34.5424163
"Compass Recovery Center","SU",-112.4713412,34.5307302
"Holdfast Recovery","SU",-112.4934338,34.5422853
"Horizon Health and Wellness","SU",-110.7750598,33.3787078
"BHC Mesilla Valley Hospital","SU",-106.7738764,32.3566885
"Dailey Recovery Services of Amarillo","SU",-101.8678675,33.5482534
"Mirror Inc","SU",-98.5774064,37.2884687
"Department of Veterans Affairs","SU",-101.8474811,33.5376329
"Zia Recovery Center","SU",-106.7820972,32.31093
"Revive Inc","SU",-98.3835624,40.6089061
"Recovery Management Center","SU",-107.7598042,32.2682704
"Carlsbad LifeHouse Inc","SU",-104.2504045,32.4411355
"CHI Health Saint Francis","SU",-98.3638623,40.9247086
"Goodwill Industries of Greater NE","SU",-98.3414274,40.9041056
"Friendship House Inc","SU",-98.3381,40.9223
"Sobermans Estate","SU",-112.0170368,33.8147646
"Preferred Child and Family Services","SU",-113.7916402,42.524566
"Recovery Management Center","SU",-108.7186249,32.3477275
"Palmer Drug Abuse Prog of Lea County","SU",-103.1349583,32.7039701
"Hidalgo Medical Services","SU",-108.7066046,32.3379951
"Renaissance Ranch","SU",-113.5917066,42.8057652
"Buena Vista Health and Recovery LLC","SU",-111.9932864,33.7560414
"South Central Regional MH Center","SU",-109.2479464,45.1864508
"Rock View Recovery","SU",-112.0770199,33.7938922
"Renaissance Ranch","SU",-113.8514674,42.5752729
"Cornerstone Healing Center","SU",-111.886185,33.635871
"Horizon Health and Wellness","SU",-111.5499043,33.4207607
"Lifeline Behavioral Health","SU",-111.6697477,33.4909029
"Medical X","SU",-111.8342697,33.5902488
"Axiom Care","SU",-111.5698807,33.4164879
"Winslow Guidance Associates Inc","SU",-111.5690934,33.4155627
"Diebold Behavioral Counseling","SU",-111.877222,33.5837927
"Hope and Healing","SU",-111.7190414,33.4790691
"Scottsdale Providence","SU",-111.8895254,33.5682845
"SMC Recovery LLC","SU",-111.925302,33.578687
"Substance Abuse Center of Kansas","SU",-97.9396678,38.0550797
"Desert Cove Recovery","SU",-111.895975,33.5548881
"Hutchinson Health","SU",-97.9403303,38.0280671
"Sanctuary Sober Living LLC","SU",-112.0032,33.6257
"Purpose Healing Center","SU",-111.8935557,33.551962
"Sanctuary Sober Living LLC","SU",-111.988761,33.6133256
"Residents at the Heights","SU",-111.681956,33.4113576
"Pinnacle Peak Recovery","SU",-111.9479282,33.5817743
"Nirvana Recovery LLC","SU",-112.1016173,33.6833683
"Unhooked Recovery","SU",-111.7048852,33.4150101
"Soba Mesa LLC","SU",-111.6953707,33.4088219
"Lifeline Behavioral Health","SU",-111.9721374,33.5830946
"Buena Vista Health and Recovery LLC","SU",-111.904787,33.537331
"Quail Run Behavioral Health","SU",-112.1137091,33.6778888
"ACT/Counseling and Education","SU",-112.0079394,33.58296
"Milestone Recovery","SU",-112.0642537,33.613381
"Sanctuary Sober Living LLC","SU",-112.0421074,33.5925216
"Guiding Road Recovery Center","SU",-112.0468596,33.5898899
"Arizona Addiction Center","SU",-111.9128,33.4989
"Gallus Detox","SU",-111.9203206,33.4992502
"DBOTC LLC","SU",-111.7959808,33.4156545
"Homes of Personal Enrichment and","SU",-112.1296316,33.6357687
"Native American Recovery Center","SU",-112.0450987,33.5719389
"Valle del Sol","SU",-111.8389864,33.4344539
"Banner Behavioral Health Hospital","SU",-111.9188068,33.4832256
"Archways Recovery Centers LLC","SU",-111.8284925,33.4216822
"TLC Treatment Center","SU",-111.8344681,33.414061
"Crossroads","SU",-111.8310961,33.4116131
"Choice Wellness","SU",-112.3279281,33.7488837
"Crossroads","SU",-111.914028,33.4620006
"Crossroads","SU",-111.8489403,33.4201248
"Crossroads","SU",-111.8491787,33.4200099
"Crossroads","SU",-112.1518704,33.6156629
"BBC Scottsdale","SU",-111.921321,33.4568565
"Crossroads","SU",-112.0408836,33.5344349
"Crossroads","SU",-111.9710354,33.4808418
"Saint Francis Ministries","SU",-97.712725,38.810879
"Renaissance Recovery Center","SU",-111.789454,33.3590956
"Lifeline Behavioral Health","SU",-112.217418,33.640558
"Calvary Healing Center","SU",-112.2295997,33.6477686
"Sunlight Medical Services PLLC","SU",-112.1820961,33.6122703
"Potters House","SU",-112.0982173,33.55189
"Ideal Treatment Center LLC","SU",-112.0982173,33.55189
"SureStep Psychology Services","SU",-111.8578435,33.3926263
"Rosewood Centers for Eating Disorders","SU",-112.7419972,34.0270139
"Valley Hospital","SU",-112.0058586,33.4828551
"Calvary Healing Center","SU",-112.0641281,33.5204908
"Axiom Care Del Sol","SU",-111.9876974,33.4647391
"Horizon Health and Wellness","SU",-111.6328099,33.2420659
"Camelback Recovery Treatment Center","SU",-112.046985,33.5030459
"Axiom Care","SU",-112.0563,33.5092
"AriseVida Care LLC","SU",-111.9929912,33.4659
"Mirror Inc","SU",-98.0311628,37.1531353
"River Source Treatment Center","SU",-111.8398622,33.3638207
"Arizona Womens Recovery Center","SU",-112.0471942,33.4968192
"Vogue Recovery Center","SU",-112.0461364,33.4957306
"One Care Arizona LLC","SU",-112.1538265,33.5663386
"Crossroads","SU",-112.0386038,33.4877871
"Crossroads","SU",-112.1332177,33.5466072
"Crossroads","SU",-112.0460535,33.4864045
"Recovery Syndicate","SU",-111.8433936,33.3520487
"Phoenix VA Healthcare System","SU",-112.0659411,33.4956405
"Purpose Healing Center","SU",-112.0299214,33.4690334
"Valle del Sol","SU",-112.064468,33.4919578
"NorthSight Recovery","SU",-111.9156222,33.3937459
"Hopess","SU",-112.0719489,33.4926136
"Lifeline Behavioral Health","SU",-111.9083462,33.3848917
"Anza Wellness and Recovery Center","SU",-111.933519,33.3941666
"Hopess","SU",-112.1301763,33.521899
"Native American Connections Inc","SU",-112.0670599,33.4761931
"Crossroads","SU",-112.0893216,33.4906104
"Modern Recovery Services","SU",-111.9252357,33.3820071
"Victorian Integrated Healthcare","SU",-111.9201092,33.3786937
"Pathway Program","SU",-111.9399994,33.3809189
"Choice Recovery Centers","SU",-112.099603,33.4855575
"Trinity Care Services LLC","SU",-112.1803265,33.5391238
"Community Support Services Inc","SU",-112.1852501,33.5413841
"Prairie View Inc","SU",-97.6725304,38.3807238
"Crossroads","SU",-111.839711,33.3118257
"Helping Handz Counseling Services","SU",-112.1241252,33.4929775
"Virtue Detox LLC","SU",-112.3618575,33.6587787
"El Paso VA Main Campus","SU",-106.462398,31.8206885
"CKF Addiction Treatment Inc","SU",-97.6670992,38.3678333
"Aurora Behavioral Health System East","SU",-111.9391963,33.364369
"Heal Recovery Center LLC","SU",-112.1252298,33.4847716
"Lifeline Behavioral Health","SU",-111.8587682,33.3085663
"CKF Addiction Treatment Inc","SU",-97.6023998,38.8455821
"Valle del Sol","SU",-112.0746972,33.4356436
"Harmony Road Recovery LLC","SU",-106.3773,31.8027
"Central Kansas Mental Health Center","SU",-97.5979952,38.8304364
"Rivyve Behavioral Health Inc","SU",-114.0405947,35.2144735
"Virtue Recovery Center","SU",-111.9039572,33.3020892
"Buena Vista Health and Recovery LLC","SU",-111.8405571,33.2610609
"Chicanos Por La Causa Inc","SU",-112.2057916,33.4960305
"El Paso Veterans Affairs Healthcare","SU",-106.4293149,31.7748141
"Chicanos Por La Causa Inc","SU",-112.1383874,33.4420869
"Heartland Counseling Services Inc","SU",-98.6553962,42.4574424
"River Source Trt Ctr Casa Grande LLC","SU",-112.2276437,33.480665
"Valle del Sol","SU",-112.2417083,33.4808477
"Our Home of Unity LLC","SU",-112.1043419,33.3847792
"Hofunity Behavioral Health LLC","SU",-112.1037179,33.3833305
"Valley Hope of ONeill","SU",-98.6393916,42.4694532
"Desert Senita","SU",-111.5218151,32.993231
"Lifeline Behavioral Health","SU",-112.2824599,33.4653041
"Horizon Health and Wellness","SU",-110.7633845,32.6096056
"Walker Center","SU",-114.4401478,42.5818627
"Desert Visions RTC","SU",-111.7572877,33.0844655
"Ysleta Del Sur Pueblo","SU",-106.3177764,31.6815547
"Valley Hope of Moundridge","SU",-97.505247,38.2020204
"Fillmore County Hospital","SU",-97.5877697,40.5243796
"Anza Wellness","SU",-112.384667,33.4682419
"Community Medical Services","SU",-108.5681827,45.7581234
"Yellowstone Boys and Girls Ranch","SU",-108.6999978,45.7373055
"Teen Challenge Intl Pac NW Centers","SU",-114.4921783,42.5663295
"Preferred Child and Family Services","SU",-114.4920999,42.5671052
"Billings Urban Indian Health and","SU",-108.5453358,45.7777603
"Rimrock","SU",-108.518947,45.7942562
"South Central Montana Regional MHC","SU",-108.5194744,45.7945439
"Blue Valley Behavioral Health","SU",-97.596047,40.8553097
"River of Hope Behavioral Health","SU",-114.5179504,42.7277319
"Mirror Inc","SU",-97.3328795,38.058104
"Mirror Inc","SU",-97.3324577,38.0581303
"Mirror Inc/Newton","SU",-97.3323932,38.0575686
"Horizon Health and Wellness","SU",-111.7220837,32.8597652
"ABC Therapy LLC","SU",-114.9859613,36.0359261
"Horizon Health and Wellness","SU",-111.7224949,32.8593619
"Horizon Health and Wellness","SU",-111.7228968,32.8592182
"CKF Addiction Treatment Inc","SU",-97.2143166,38.9171295
"Valley Hope of Wichita","SU",-97.3988514,37.6748559
"Prairie View Inc","SU",-97.3136109,38.0414964
"Valliant House LLC","SU",-97.8731054,36.3927178
"Recovery Unlimited KS Inc","SU",-97.3868428,37.6835875
"ARROW","SU",-97.3727132,37.7022209
