    name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,mh,sa,dt,mm,dm,bum,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otp,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,idd,at,ect,tele,saca,trc,smon,smpd,smop,hi,res,phdt,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,fsa,cit,wi,ss,pa,ah,sp,co,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,adtx,bdtx,cdtx,mdtx,odtx,tgd,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,snr,fem,male,du,duo,acc,acm,acu,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,opc,sae,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,fqhc,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,dlc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,cbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,pefp,aot,msnh,ipsy,shp,vahc,mmd,antpych,mpep,aim,fed,sotp,dea,mhc,samf,mhpa,hbt,hct,labt,tod,vapn,vapp,vppd,oudo,nx,fx,mws,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n24,n40 
Eliot Community Human Services,Eliot Centet/Everett,173 Chelsea Street,,Everett,MA,02149,,Middlesex,781-388-6200,,,,http://www.eliotchs.org,42.40395,-71.0488018,SU,,1,,,,1,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,1,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,1,,,,1,,1,,,,,1,,,,1,1,,1,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,1,1,1,,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,1,,1,,,1,,,1,,1,1,,,,,,,,,,1,,,,,,1,,
Eliot Community Human Services,Eliot Center/Everett,173 Chelsea Street,,Everett,MA,02149,,Middlesex,781-388-6200,,,,http://www.eliotchs.org,42.40395,-71.0488018,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,1,,,,,1,,1,1,1,1,1,1,1,1,,,,,1,1,,1,1,1,,1,1,1,1,,1,1,,1,1,1,,1,1,,,,,1,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,1,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,1,,1,1,,,,,,,,,,1,,,1,,,1,,
Charlestown Recovery Home,,15 Bunker Hill Street,,Charlestown,MA,02129,,Suffolk,617-242-0088,,,,http://www.gavinfoundation.org,42.3762129,-71.0562303,SU,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,1,1,,,1,1,,1,1,,,1,,,1,1,,,1,,,1,,,1,,,1,1,1,,,,1,1,1,,,,,,1,1,1,1,1,,1,1,1,,,,,,,,,,1,,,1,1,1,,,1,,1,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Suffolk Community Services,Revere Counseling Center,265 Beach Street,,Revere,MA,02151,,Suffolk,866-781-6727,,781-912-7700,,https://northsuffolk.org/,42.4090179,-71.0069045,MH,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North End Waterfront Health,Behavioral Health/Substance Use Dept,332 Hanover Street,,Boston,MA,02113,,Suffolk,617-643-1195,,617-643-8080,,http://northendwaterfronthealth.org,42.3648007,-71.0537232,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,1,,1,,,,,,,1,1,1,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,
Bay Cove Treatment Center,,66 Canal Street,,Boston,MA,02114,,Suffolk,617-371-3030,,617-371-3030 x1,,http://www.baycovehumanservices.org,42.3636637,-71.059666,SU,,1,1,1,1,1,1,,1,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,1,,,,,,,,,,,1,,,1,1,1,1,1,,,,1,1,,1,1,1,1,1,1,1,,,,,,,,,,1,,1,,,,,1,,,,,,,1,1,,,,1,,,,,,1,,1,1,,,,1,1,1,,,,1,,,1,1,,1,1,,,1,,,1,,,1,1,1,,,,1,1,1,,1,,1,1,1,1,1,1,1,,1,1,1,,,1,1,,,,,,1,1,,,,,,,1,,1,1,1,,,,,,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,,,1,,1,1,,1,,1,,,,,,,,,1,,,,,,,
Bay Cove Treatment Center,,66 Canal Street,,Boston,MA,02114,,Suffolk,617-371-3030,,617-371-3030 x1,,http://www.baycovehumanservices.org,42.3636637,-71.059666,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,1,,,1,,1,1,1,1,1,,,,1,,,,,,1,1,,,,,,1,,,,,,1,,1,1,,1,1,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,1,,,1,,1,,,,,,,,,,,,,,,,
North Suffolk Community Services,Freedom Trail Clinic,25 Staniford Street,2nd Floor,Boston,MA,02114,2503,Suffolk,866-781-6727,,,,http://www.northsuffolk.org,42.3625908,-71.0636032,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,1,,,,,,1,,,1,1,,1,,,,,,,,,,,1,,,,1,,1,,,,,,,,1,1,,,1,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,
Bicycle Health,Telehealth,68 Harrison Avenue,Suite 600,Boston,MA,02111,,Suffolk,844-943-2514,,833-344-0576,,http://bicyclehealth.com,42.3511729,-71.0611259,SU,,1,,,,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,1,1,,,,1,,1,,,,1,,,1,1,,1,1,,,1,1,,,,1,1,1,1,,,,,,1,,,,1,1,1,1,1,1,1,,,,,,1,,1,,1,1,1,1,,,,1,,,1,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Tufts Medical Center,Hospitals,800 Washington Street,Box 1007,Boston,MA,02111,,Suffolk,617-636-5000,,617-636-5731,,http://www.tuftsmedicalcenter.org,42.34964,-71.063506,MH,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,1,1,1,1,1,,,,1,,1,1,,1,1,1,,,,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CASPAR House I,Mens Recovery Home,16 Highland Avenue,,Somerville,MA,02143,,Middlesex,617-623-5277 x351,,,,http://www.baycovehumanservices.org/caspar,42.384605,-71.09332,MH,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1,1,1,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,,1,1,1,,,,1,,,,,1,1,1,1,1,1,1,,,,,1,1,,1,,1,,1,1,,1,1,1,1,,1,1,1,1,,1,,,,1,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CASPAR House I,,16 Highland Avenue,,Somerville,MA,02143,,Middlesex,617-623-5277,,617-623-5277 x351,,http://www.baycovehumanservices.org/caspar,42.384605,-71.09332,SU,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,1,1,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,,,,,,,,,,1,,1,,,,,1,,,,,,,1,1,,,,1,,,,,,,1,1,1,,,1,1,1,1,1,1,1,1,,,1,1,,1,1,,,1,,,1,,1,1,1,1,,,,1,1,1,,,,1,1,1,1,1,1,1,,1,1,1,,,,,,,,,,1,1,1,1,1,1,,,1,,,1,,,,,,,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,1,,,,,1,,,,,,,,,,,1,,,,,
CASPAR House II,,3 Summit Avenue,,Somerville,MA,02143,,Middlesex,617-623-5277,,617-776-6036,,http://www.baycovehumanservices.org/caspar,42.3838459,-71.0956259,SU,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,,,,,,,,,,1,,1,,,,,1,,,,,,,1,1,,,,1,,,,,,,1,1,1,,,1,1,1,1,1,1,1,1,,,1,1,,,1,,,1,,,1,,1,1,1,1,,,,1,1,1,,,,1,1,1,1,1,1,1,,1,1,,,,,,,,,,,1,1,,1,1,1,,,1,,,1,,,,,,,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,
Middlesex Human Service Agency Inc,Answer House Recovery Home,5 G Street,,Boston,MA,02127,,Suffolk,617-268-7124,,781-296-2653,,http://www.mhsainc.org,42.3361379,-71.0444607,SU,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,1,,1,,,,,1,,,,1,,,1,,,,,1,,,,,,,1,1,1,,,1,1,,1,1,,,1,,,1,1,,,1,,,1,,,,,,1,1,1,,,,1,1,1,,,,,,1,1,1,1,1,,,1,1,,1,,,,,,,,1,,1,,1,1,,,1,,1,1,1,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
