name,address,city,state,zip,confidence,lon,lat
CVS Pharmacy,3221 Waialae Ave,Honolulu,HI,96816,0.98,-157.8077263,21.2868819
Longs Drugs,2470 S King St,Honolulu,HI,96826,1.0,-157.8238456,21.29325
Don Quijote Drugs,801 Kaheka St,Honolulu,HI,96814,0.99,-157.8384221,21.2934456
Rainbow Photo Video,661 Keeaumoku St,Honolulu,HI,96814,0.97,-157.8416809,21.294745
Community Pharmacy,615 Piikoi St,Honolulu,HI,96814,0.91,-157.8456187,21.2950524
Walmart Pharmacy,700 Keeaumoku St,Honolulu,HI,96814,1.0,-157.8432636,21.2951127
Longs Drugs,1481 S King St Ste 111,Honolulu,HI,96814,0.95,-157.8384,21.2975
CVS Photo,1030 S King St,Honolulu,HI,96814,0.99,-157.8476791,21.3013489
Walgreens,1121 S Beretania St,Honolulu,HI,96814,1.0,-157.8444612,21.3014209
Longs Drugs,1030 S King St,Honolulu,HI,96814,1.0,-157.8476265,21.3014494
Safeway,1234 S Beretania St,Honolulu,HI,96814,0.97,-157.8421638,21.3016576
Longs Drugs Pharmacy,2750 Woodlawn Dr,Honolulu,HI,96822,1.0,-157.8097801,21.3077552
Waimanalo Pharmacy,41-1610 Kalanianaole Hwy,Waimanalo,HI,96795,0.99,-157.7228942,21.3480011
Elix Rx,1090 Keolu Dr,Honolulu,HI,96734,0.99,-157.7300744,21.3766734
CVS Pharmacy,345 Hahani St,Kailua,HI,96734,1.0,-157.7397841,21.391382
Longs Drugs Pharmacy,609 Kailua Rd,Kailua,HI,96734,1.0,-157.7420991,21.3935937
Walgreens,56 Oneawa St,Kailua,HI,96734,1.0,-157.7442217,21.3959593
Longs Drugs,45-480 Kaneohe Bay Dr,Kaneohe,HI,96744,1.0,-157.7976488,21.400931
CVS Pharmacy,45-480 Kaneohe Bay Dr,Kaneohe,HI,96744,0.91,-157.798949,21.401543
Walgreens,46-021 Kamehameha Hwy,Kaneohe,HI,96744,1.0,-157.802194,21.4193421
Longs Drugs Pharmacy,988 Halekauwila St,Honolulu,HI,96814,0.99,-157.8554256,21.2970133
Pharmacare,888 S King St,Honolulu,HI,96813,0.99,-157.8500214,21.3026422
Queen's POB III Pharmacy,550 S Beretania St,Honolulu,HI,96813,0.96,-157.8544564,21.3066
Queens Pob I Pharmacy,1380 Lusitana St,Honolulu,HI,96813,0.91,-157.85283,21.30799
Walgreens,116 S Hotel St,Honolulu,HI,96813,0.91,-157.8606498,21.3096362
5 Minute Pharmacy Downtown,928 Nuuanu Ave,Honolulu,HI,96817,0.99,-157.8634538,21.3104953
Century Square Pharmacy,1188 Bishop St,Honolulu,HI,96813,0.97,-157.859085,21.310883
Longs Drugs,1330 Pali Hwy,Honolulu,HI,96813,0.97,-157.8578482,21.3127563
Wellness Pharmacy II,1120 Maunakea St,Honolulu,HI,96817,0.96,-157.863119,21.3129185
Plaza Pharmacy,321 N Kuakini St,Honolulu,HI,96817,0.96,-157.8558865,21.3216477
Pharmacare,2228 Liliha St,Honolulu,HI,96817,0.91,-157.852621,21.328957
Longs Drugs,2070 N King St APT 5,Honolulu,HI,96819,0.99,-157.8788367,21.3334544
FQLabs,3170 Ualena St,Honolulu,HI,96819,0.96,-157.9123418,21.3343024
Walgreens,1520 N School St,Honolulu,HI,96817,0.95,-157.867986,21.334771
Pharmacare,3375 Koapaka St,Honolulu,HI,96819,0.96,-157.917955,21.3354261
Longs Drugs,1620 N School St,Honolulu,HI,96817,0.99,-157.8678552,21.3363858
Times Pharmacy,1620 N School St,Honolulu,HI,96817,0.96,-157.8686523,21.336617
CVS Pharmacy,848 Ala Lilikoi St,Honolulu,HI,96818,0.91,-157.9130635,21.3447573
Naval Health Clinic Hawaii Makalapa,1253 Makalapa Gate Rd,Honolulu,HI,96860,0.96,-157.9371532,21.3535779
Longs Drugs,4380 Lawehana St,Honolulu,HI,96818,0.91,-157.92933,21.35479
Longs Drugs,91-919 Fort Weaver Rd,Honolulu,HI,96706,0.99,-158.0140542,21.3170856
CVS Photo,91-919 Fort Weaver Rd,Honolulu,HI,96706,0.96,-158.0124529,21.3172608
Walgreens,91-1081 Keaunui Dr,Ewa Beach,HI,96706,1.0,-158.021941,21.327576
Kapolei Professional Pharmacy,599 Farrington Hwy,Kapolei,HI,96707,0.96,-158.0763951,21.3394269
Longs Drugs Pharmacy,91-590 Farrington Hwy,Kapolei,HI,96707,0.96,-158.0783256,21.3396265
CVS Pharmacy,590 Farrington Hwy,Kapolei,HI,96707,0.96,-158.0779232,21.339774
Walmart,91-600 Farrington Hwy,Kapolei,HI,96707,0.99,-158.0751382,21.3421165
Longs Drugs,94-030 Farrington Hwy,Honolulu,HI,96797,0.97,-158.0248473,21.3779364
Walgreens,94-223 Farrington Hwy,Waipahu,HI,96797,0.96,-158.0201766,21.378963
Don Quijote Drugs,94-144 Farrington Hwy,Honolulu,HI,96797,0.99,-158.0226143,21.3793947
CVS Pharmacy,4380 Lawehana St,Honolulu,HI,96818,0.99,-157.9292084,21.355596
Tripler Army Medical Center,1 Jarrett White Rd,Tripler Army Medical Ctr,HI,96859,0.91,-157.8902482,21.3607141
Zee Medical Inc,99-75 Koaha Way,Aiea,HI,96701,0.96,-157.9018729,21.3731404
Aloha Respiratory Services,99-890 Iwaena St,Aiea,HI,96701,0.99,-157.913394,21.373717
Medical Center Pharmacy,99-115 Aiea Heights Dr,Aiea,HI,96701,0.96,-157.9293136,21.3792366
Pharmacare,98-1079 Moanalua Rd,Aiea,HI,96701,0.96,-157.9383429,21.3832891
CVS Pharmacy,98-1005 Moanalua Rd,Aiea,HI,96701,0.91,-157.94047,21.38485
Newtown Square Pharmacy,98-1247 Kaahumanu St,Aiea,HI,96701,1.0,-157.9533482,21.3887025
Times Pharmacy Waimalu,98-1214 Kaahumanu St,Pearl City,HI,96782,0.96,-157.9541129,21.3900161
CVS Pharmacy,1130 Kuala St,Pearl City,HI,96782,0.99,-157.9759,21.3994166
5 Minute Pharmacy,94-216 Farrington Hwy,Waipahu,HI,96797,0.96,-158.0205454,21.3796776
Costco Pharmacy,94-1231 Ka Uka Blvd,Honolulu,HI,96797,0.96,-158.0001681,21.426824
Longs Drugs Pharmacy,86 120 Farrington Hwy,Waianae,HI,96792,1.0,-158.1841315,21.4366238
Longs Drugs - Mililani Marketplace,94-780 Meheula Pkwy,Honolulu,HI,96789,0.91,-158.0224162,21.4419704
Longs Drugs Pharmacy,84-1160 Farrington Hwy,Honolulu,HI,96792,0.99,-158.20732,21.4609899
CVS Pharmacy,95-1077 Ainamakua Dr,Mililani Town,HI,96789,0.96,-158.0011149,21.4680843
Longs Drugs,95-1077 Ainamakua Dr,Mililani Town,HI,96789,1.0,-158.0010994,21.4682556
Walgreens,135 S Kamehameha Hwy,Wahiawa,HI,96786,0.99,-158.029379,21.493954
Walgreens,135 S Kamehameha Hwy,Wahiawa,HI,96786,0.99,-158.0292923,21.4940777
Schofield Barracks Main Pharmacy,676 McComack Rd BLDG E,Wahiawa,HI,96857,0.96,-158.0580146,21.496061
Longs Drugs,1130 Kuala St,Honolulu,HI,96782,1.0,-157.9759499,21.3994434
Longs Drugs,54-316 Kamehameha Hwy,Honolulu,HI,96717,1.0,-157.9164732,21.6201347
CVS Pharmacy,925 California Ave,Wahiawa,HI,96786,0.99,-158.0249279,21.4967427
CVS Pharmacy,66-197 Kamehameha Hwy,Honolulu,HI,96712,0.91,-158.1031686,21.5878028
CVS Pharmacy,2829 Ala Kalanikaumaka St,Koloa,HI,96756,0.99,-159.469186,21.8836066
Westside Pharmacy,1-3845 Kaumualii Hwy,Eleele,HI,96716,0.96,-159.5873816,21.9095965
Kaleo's Pharmacy,4475 Papalina Rd,Kalaheo,HI,96741,0.99,-159.5276338,21.9248858
Safeway Pharmacy,4454 Nuhou St Suite #301,Lihue,HI,96766,0.95,-159.38565452380374,21.96870012550803
Lihue Pharmacy,4491 Kolopa St,Lihue,HI,96766,0.99,-159.3840192,21.9688827
Lihue Clinic Pharmacy,3216 Elua St,Lihue,HI,96766,0.96,-159.3657483,21.9800322
Walmart Pharmacy,3-3300 Kuhio Hwy,Lihue,HI,96766,1.0,-159.3654412,21.9826969
Lifeway Pharmacy,3-3295 Kuhio Hwy,Lihue,HI,96766,0.91,-159.367439,21.98289
Longs Drugs Pharmacy,645 Aleka Loop,Kapaa,HI,96746,1.0,-159.3241187,22.0575943
Northshore Pharmacy,2460 Oka St,Kilauea,HI,96754,1.0,-159.4073897,22.21063
Guam Rexall Drugs,Marine Corps Dr 646,Tamuning,,96913,0.96,144.7816745,13.4860166
Isla Home Infusion,Fahrenholt Ave 202,Tamuning,,96913,0.96,144.7787739,13.4973925
Mega Drug Pharmacy,Fahrenholt Ave 255,Tamuning,,96913,0.96,144.7774742,13.4977501
Polymedic Pharmacy,172 Buena Vista Avenue,Dededo,,96929,0.96,144.8415045,13.514883
Community Pharmacy II,Marine Corps Dr 1300,Tamuning,,96913,0.96,144.8122022,13.5179004
PHI Pharmacy,Chalan Monsignor Guerrero,Saipan,,96950,0.96,145.7278539,15.1515334
Conquest Plaza Pharmacy,316 E Conquest Blvd,Edinburg,TX,78539,0.99,-98.1709039,26.2566537
Richard's Pharmacy,4630 S Closner Blvd,Edinburg,TX,78539,0.99,-98.1728239,26.2566622
Rytesh Pharmacy,230 Conquest,Edinburg,TX,78539,0.96,-98.1716355,26.2567175
Saenz Medical Pharmacy,6900 N 10th St,McAllen,TX,78504,0.99,-98.2191538,26.2641295
One Stop Scripts,2500 W Trenton Rd,Edinburg,TX,78539,0.96,-98.1977321,26.2649195
CVS Pharmacy,2121 W Trenton Rd,Edinburg,TX,78539,0.99,-98.192201,26.2651559
Jackson Park Pharmacy,4107 Crosspoint Blvd,Edinburg,TX,78539,0.96,-98.1992369,26.2671221
CVS Pharmacy,7400 N 10th St,McAllen,TX,78504,0.96,-98.2163507,26.2685667
Richard's Pharmacy,3509 E Main Ave,Alton,TX,78573,0.99,-98.2805207,26.2827566
CVS Beauty,105 N Alton Blvd,Alton,TX,78573,0.96,-98.3142602,26.2878166
Popular Pharmacy,5326 E US Highway 83,Rio Grande City,TX,78582,0.96,-98.7733373,26.35499
Lino's Pharmacy,101 N FM 3167,Rio Grande City,TX,78582,0.98,-98.8606462,26.3753906
Fred's Pharmacy,2790 Pharmacy Rd,Rio Grande City,TX,78582,0.96,-98.8599012,26.375454
Valley Pharmacy,129 N FM 3167,Rio Grande City,TX,78582,0.96,-98.8603101,26.377072
Ringgold Pharmacy,1623 E US Highway 83,Rio Grande City,TX,78582,0.96,-98.8044328,26.3781833
Farmacias Guadalajara,Ignacio Manuel Altamirano 149,Ciudad Miguel Alemán,,88306,0.96,-99.032616,26.3976612
Farmacia Express,Avenida Manuel Hinojosa 832,Miguel Alemán,,88303,0.96,-99.0259857,26.3978559
Farmacias Benavides,Avenida Miguel Hidalgo 333,Ciudad Miguel Alemán,,88300,0.99,-99.0223373,26.4016955
Farmacias Cumbres Suc. Miguel Aleman,DIF 200,Ciudad Miguel Alemán,,88302,0.96,-99.0328829,26.404631
Lino's Pharmacy,708 N Grant St,Roma,TX,78584,0.99,-99.0169927,26.40724
Roma Pharmacy,700 E Bravo Blvd,Roma,TX,78584,0.96,-99.0086885,26.4084655
Daniel's Pharmacy,408 US-83,Zapata,TX,78076,0.96,-99.2653641,26.9000157
CVS Beauty,1205 US-83,Zapata,TX,78076,0.96,-99.2717443,26.9066356
Apple Pharmacy,610 N Smith Ave,Hebbronville,TX,78361,0.96,-98.6776246,27.312175
Walmart,4401 Highway 83 S,Laredo,TX,78046,0.95,-99.4746984,27.4535336
LanRX Pharmacy,2110 Lomas del Sur,Laredo,TX,78046,0.96,-99.4745371,27.4644313
Farmacia y Ortopedicos Joparox,Calle Melchor Ocampo 3007,Nuevo Laredo,,88240,0.98,-99.5066443,27.4715256
Fusión Farmacia,Calle Chihuahua 2407,Nuevo Laredo,,88240,0.96,-99.5049491,27.4715458
Farmacias Benavides,Avenida Vicente Guerrero 2750,Nuevo Laredo,,88209,0.99,-99.5078234,27.4739327
Farmacias Guadalajara,Calle Aquiles Serdán 3150,Nuevo Laredo,,88240,0.96,-99.5037623,27.474797
Farmacia Calderon,Avenida Jesús Carranza 1127,Nuevo Laredo,,88000,0.96,-99.492343,27.4767566
H-E-B Pharmacy,2314 S Zapata Hwy,Laredo,TX,78046,0.99,-99.4759553,27.4768246
Farmacias Guadalajara,Avenida Santos Degollado 2401,Nuevo Laredo,,88240,0.99,-99.5006708,27.4775853
Farmacia Calderon,Avenida Vicente Guerrero 2004,Nuevo Laredo,,88209,0.96,-99.5077838,27.4816505
Salva Farmacias,Calle Aquiles Serdán 1902,Nuevo Laredo,,88240,0.96,-99.5038232,27.4827973
Farmacia Calderon,Calle Maclovio Herrera 2404,Nuevo Laredo,,88040,0.96,-99.5049579,27.4860868
Farmacias ROD,Privada Emilio Madero 802,Nuevo Laredo,,88284,0.96,-99.4898499,27.4873213
Farmacias de Similares,Calle 20 de Noviembre 1403,Nuevo Laredo,,88000,0.96,-99.4975139,27.4873347
Farmacias Benavides,Calle Francisco I. Madero 1650,Nuevo Laredo,,88000,0.99,-99.4973117,27.4876075
Farmacia Calderon,Avenida Santos Degollado 1302,Nuevo Laredo,,88000,0.96,-99.5007513,27.4883144
Simas Farmacia,Calle Narciso Mendoza 1115,Nuevo Laredo,,88000,0.96,-99.5159528,27.4899881
Farmacia Calderon,Calle José María González 3131,Nuevo Laredo,,88000,0.96,-99.5097573,27.4929611
Farmacia Calderon,Avenida Vicente Guerrero 704,Nuevo Laredo,,88000,0.96,-99.507513,27.4936028
Hierberia Krishna,Avenida Santos Degollado 853,Nuevo Laredo,,88000,0.96,-99.5087571,27.4958397
Farmacia Calderon,Avenida Vicente Guerrero 401,Nuevo Laredo,,88000,0.96,-99.507291,27.4959702
Farmacias Similares,Avenida Vicente Guerrero 214,Nuevo Laredo,,88000,0.96,-99.5074784,27.4968667
Farmacias Benavides,Avenida Vicente Guerrero 106,Nuevo Laredo,,88000,1.0,-99.5073594,27.4974835
Farmacia Calderon,Calle 15 de Junio 2807,Nuevo Laredo,,88000,0.96,-99.5071371,27.4979744
Farmacia Sinai,herrera # 208 Zona Centro 6,Matamoros,,87300,0.96,-97.5048122,25.8848384
Genesis Pharmacy,Privada Moderna 6a,Matamoros,,87330,0.96,-97.5050447,25.8872282
Santa Teresita Farmacia,Calle Amapolas 7,Matamoros,,87330,0.96,-97.5003948,25.887828
Farmacia Express,Avenida Álvaro Obregón 33d,Matamoros,,87330,0.96,-97.5026093,25.8915608
Farmacias Benavides,Avenida Álvaro Obregón 61,Matamoros,,87330,0.99,-97.4990773,25.8915999
Pete's Pharmacy,5235 Southmost Rd,Brownsville,TX,78521,0.96,-97.4397179,25.8917457
Farmacia Similar,Avenida Álvaro Obregón 76,Heroica Matamoros,,87330,0.96,-97.4988609,25.8947407
"Farmacia ""Vega"" Jardin",Avenida de las Rosas 200,Matamoros,,87330,0.96,-97.4979037,25.8948509
Brownsville Community Health Center,2137 22nd St,Brownsville,TX,78521,0.97,-97.477841,25.902576
Alamo Pharmacy,3127 International Blvd,Brownsville,TX,78521,0.99,-97.4764073,25.909795
Las Palmas Pharmacy,864 Central Blvd,Brownsville,TX,78520,0.96,-97.5110997,25.9192304
Walgreens,4490 E 14th St,Brownsville,TX,78521,1.0,-97.4663762,25.9203087
The Friendly Pharmacy,3302 Boca Chica Blvd,Brownsville,TX,78521,0.96,-97.4690664,25.9203936
Complete Rx Pharmacy,3675 Boca Chica Blvd,Brownsville,TX,78521,0.96,-97.4630173,25.9205079
Autrey Pharmacy,1205 Central Blvd,Brownsville,TX,78520,0.99,-97.5118292,25.9233143
Complete Rx Pharmacy #2,130 Uptown Ave,Brownsville,TX,78520,0.96,-97.5100426,25.9247006
Walgreens,1525 Central Blvd,Brownsville,TX,78520,1.0,-97.5119528,25.9255566
Los Ebanos Pharmacy,1134 E Los Ebanos Blvd,Brownsville,TX,78520,0.99,-97.5050834,25.9318666
El Valle DME,98 E Price Rd,Brownsville,TX,78521,0.96,-97.4704,25.9320284
Apple Pharmacy,54 E Price Rd,Brownsville,TX,78521,0.96,-97.4735033,25.932415
Community Pharmacy,765 Paredes Line Rd,Brownsville,TX,78521,0.96,-97.4887804,25.9328152
Lopez Pharmacy,5850 FM-802,Brownsville,TX,78526,0.96,-97.4295815,25.9433122
Autrey Pharmacy,1365 FM-802,Brownsville,TX,78521,0.96,-97.4991054,25.9510072
CVS Pharmacy,1484 Ruben M Torres Blvd,Brownsville,TX,78521,0.99,-97.4957335,25.9510278
Walgreens,2105 Ruben Torres Sr Blvd,Brownsville,TX,78526,1.0,-97.4834752,25.9513845
CVS Beauty,301 E Morrison Rd,Brownsville,TX,78526,0.96,-97.5095612,25.9687713
Walmart,3500 W Alton Gloor Blvd,Brownsville,TX,78520,0.98,-97.51945,25.97606
CVS Pharmacy,790 E Alton Gloor Blvd,Brownsville,TX,78526,1.0,-97.5051196,25.9788764
La Farmacia,5460 Paredes Line Rd,Brownsville,TX,78526,0.96,-97.4827128,25.9822052
Los Fresnos Pharmacy,810 W Ocean Blvd,Los Fresnos,TX,78566,0.96,-97.4875984,26.0726454
Farmacia Celaya,Reynosa 202,Río Bravo,,88810,0.96,-97.9517457,26.0565845
Farmacia Treviños,Benito Juárez 256,Río Bravo,,88810,0.96,-97.9507473,26.0588315
Susy Pharmacy,Reynosa 204,Río Bravo,,88810,0.96,-97.9514093,26.0596733
Jessicas Med Center,Reynosa 108,Río Bravo,,88810,0.96,-97.9514615,26.0599611
Farmacias Benavides,99 Juarez St,Brownsville,TX,78520,0.99,-97.9514779,26.060213
Medfarma (Pharmacy and medical office),Reynosa 306,Río Bravo,,88810,0.96,-97.9514945,26.0606434
Farmacia Reynosa,Lerdo de Tejada 100 Local 2C,Reynosa,,88600,0.96,-98.2727764,26.0929886
